"Filing ID","5K(1)(a)(i)MID","5K(1)(a)(i)EOY","5K(1)(a)(ii)MID","5K(1)(a)(ii)EOY","5K(1)(a)(iii)MID","5K(1)(a)(iii)EOY","5K(1)(a)(iv)MID","5K(1)(a)(iv)EOY","5K(1)(a)(v)MID","5K(1)(a)(v)EOY","5K(1)(a)vi)MID","5K(1)(a)vi)EOY","5K(1)(a)(vii)MID","5K(1)(a)(vii)EOY","5K(1)(a)(viii)MID","5K(1)(a)(viii)EOY","5K(1)(a)(ix)MID","5K(1)(a)(ix)EOY","5K(1)(a)(x)MID","5K(1)(a)(x)EOY","5K(1)(a)(xi)MID","5K(1)(a)(xi)EOY","5K(1)(a)(xii)MID","5K(1)(a)(xii)EOY","5K(1)(a)(xii) Description","5K(1)(b)(i)","5K(1)(b)(ii)","5K(1)(b)(iii)","5K(1)(b)(iv)","5K(1)(b)(v)","5K(1)(b)(vi)","5K(1)(b)(vii)","5K(1)(b)(viii)","5K(1)(b)(ix)","5K(1)(b)(x)","5K(1)(b)(xi)","5K(1)(b)(xii)","5K(1)(b)(xii) Description"
1999271,,,,,,,,,,,,,,,,,,,,,,,,,"",25,0,13,31,0,5,0,0,17,2,7,0,""
1999277,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1995743,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1999289,,,,,,,,,,,,,,,,,,,,,,,,,"",25,0,2,0,0,20,14,0,0,0,3,35,"THE ASSETS IN ""OTHER"" ARE PRIVATE EQUITY INVESTMENTS."
1998922,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1998336,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1999305,,,,,,,,,,,,,,,,,,,,,,,,,"",60,0,2,1,0,1,1,0,27,0,8,0,""
1990246,,,,,,,,,,,,,,,,,,,,,,,,,"",51,0,11,0,0,6,0,0,28,0,4,0,""
1999350,,,,,,,,,,,,,,,,,,,,,,,,,"",16,0,0,0,0,0,0,0,75,0,9,0,""
1999369,,,,,,,,,,,,,,,,,,,,,,,,,"",20,0,5,0,0,1,0,0,37,0,23,15,"REAL ESTATE, ALTERNATIVE INVESTMENTS, VARIABLE ANNUITIES, PRIVATE LOANS, VENTURE CAPITAL, PRIVATE EQUITY"
