"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1992127,316292,142236,"LANDMARK PACIFIC PARTNERS OFFSHORE 19C, L.P.",805-6017539529,"","Cayman Islands","N","Y"
1992127,315237,142147,"LANDMARK REAL ESTATE PARTNERS OFFSHORE K INVESTMENT FUND, L.P.",805-6141577565,"","Cayman Islands","N","Y"
1992127,316224,142230,"NCL INVESTMENTS III, LP - PE OVERFLOW SERIES",805-6190901915,"Delaware","United States","N","Y"
1992127,369158,145074,"CRESCENT ASIA CONSUMER AND SPECIAL OPPORTUNITIES CO-INVESTMENT, L.P.",805-9084595362,"","Cayman Islands","Y","Y"
1992127,309093,145034,"ARES AUSTRALIAN DIRECT LENDING FUND",805-1313162749,"","Australia","N","Y"
1992127,369570,145056,"ARES CREDIT SECONDARIES MASTER A LP",805-2678185128,"Delaware","United States","N","Y"
1992127,369570,145054,"ARES CREDIT SECONDARIES CAYMAN HOLDINGS LP",805-6330638977,"","Cayman Islands","N","Y"
1992127,369570,145055,"ARES CREDIT SECONDARIES DELAWARE HOLDINGS LLC",805-4391906248,"Delaware","United States","N","Y"
1992127,276787,141814,"ARES US X MAIN FUND CO-INVEST, L.P.",805-2120249254,"Delaware","United States","N","Y"
1992127,242073,132295,"ARES HIGH INCOME OPPORTUNITIES FUND II (CAYMAN) LP",805-9782921968,"","Cayman Islands","N","Y"
1992127,369582,145059,"ARES RE SECONDARIES OFFSHORE AD FUND LP",805-5314589948,"","Cayman Islands","N","Y"
1992127,377002,145833,"ARCHER 2023 CAPITAL INVESTORS, L.P.",805-1710730714,"Delaware","United States","N","Y"
1992127,240143,131978,"AF V APR CO-INVEST CAYMAN FEEDER (J), L.P.",805-4415403166,"","Cayman Islands","N","Y"
1992127,241241,132089,"USPF II BLOCKER FUND, L.P.",805-5592301559,"Delaware","United States","N","Y"
1992127,438379,150577,"ARES US REAL ESTATE FUND XI-C, L.P.",805-7332773597,"Delaware","United States","N","Y"
1992127,483801,152332,"AIS OFFSHORE SECONDARIES FUND LP",805-3305445075,"","Cayman Islands","N","Y"
1992127,367685,144766,"ARES SENIOR DIRECT LENDING FUND (DELAWARE) III LP",805-2022738517,"Delaware","United States","N","Y"
1989392,8439,2202,"MANATUCK HILL NAVIGATOR OFFSHORE FUND, INC",805-1983843443,"","British Virgin Islands","Y","N"
1989961,478308,151722,"AROSA PRIVATE CREDIT INTERMEDIATE FUND LP",805-1148785323,"","Cayman Islands","N","Y"
