"FilingID","ReferenceID","Foreign Regulatory Authority"
1975036,398482,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206028,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,245915,"Australia - Australian Securities and Investments Commission"
1975163,245933,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206089,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,245918,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206113,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206114,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206123,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,245920,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,245949,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,245912,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,365035,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,365096,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,421046,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206121,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206094,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206095,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,269541,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206041,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,269517,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,269562,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,269519,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,269518,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206104,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,269526,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206055,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,269525,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206039,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,269524,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,245914,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,245948,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206091,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,228155,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,245952,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,228162,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206017,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,228156,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,228157,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,228158,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,245932,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206043,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206062,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206063,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,245948,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206097,"United Kingdom - Financial Conduct Authority"
1975163,206081,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206116,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206044,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206045,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206046,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206047,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206194,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206118,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206115,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206083,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206042,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,245924,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
