FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1993428,"","","Y","","","","","","","",
1993432,"","","Y","","","","","","","",
1993445,"","","Y","","","","","","","",
1993452,"","","","","","Y","","","","",2025
1993459,"","","Y","","","","","","","",
1993469,"","","","","","Y","","","","",2025
1993470,"","","Y","","","","","","","",
1993485,"","","Y","","","","","","","",
1993488,"Y","","","","","","","","","",
1993492,"Y","","","","","","","","Y","Y",
1993494,"","","Y","","","","","","","",
1993509,"","","Y","","","","","","","",
1993515,"","Y","","","","","","","","",2025
1993528,"","","Y","","","","","","","",
1993532,"","","","","","","Y","","","",
1993539,"Y","","","","","","","","Y","",
1993543,"","","Y","","","","","","","",
1993544,"Y","","","","","","","","","",
1993553,"","","","","","","Y","","","",
1993563,"","","","","","Y","","","","",2025
1993565,"","Y","","","","","","","","",2025
1993570,"","","","","","Y","","","","",2025
1993573,"","","","","","Y","","","","",2025
1993583,"","","","","","","Y","","","",
1993584,"","Y","","","","","","","","",2025
1993588,"","","","","","","Y","","","",
1993594,"","Y","","","","","","","","",2025
1993596,"Y","","","","","","","","","",
1993599,"","","Y","","","","","","","",
1993610,"","Y","","","","","","","","",2025
1993617,"","","Y","","","","","","","",
1993622,"","","","","","Y","","","","",2025
1993637,"Y","","","","","","","","","",
1993641,"","","Y","","","","","","","",
1993652,"","","Y","","","","","","","",
1993664,"","","Y","","","","","","","",
1993690,"","","Y","","","","","","","",
1993709,"","","Y","","","","","","","",
1993710,"","","","","","Y","","","","",2025
1993722,"","","Y","","","","","","","",
1993733,"","Y","","","","","","","","",2025
1993735,"","","Y","","","","","","","",
1993774,"Y","","","","","","","","","",
1993794,"","Y","","","","","","","","",2025
1993812,"","","","","","","","","","Y",
1993828,"","","Y","","","","","","","",
1993829,"","","Y","","","","","","","",
1993849,"","","Y","","","","","","","",
1993857,"Y","","","","","","","","","",
1993861,"","","Y","","","","","","","",
1993868,"","","Y","","","","","","","",
1993877,"","","Y","","","","","","","",
1993894,"Y","","","","","","","","","",
1993918,"","","","","","Y","","","","",2025
1993920,"","","Y","","","","","","","",
1993922,"","","","","","Y","","","","",2025
1993924,"","","","","","Y","","","","",2025
1993928,"","","","","","Y","","","","",2025
1993931,"","","","","","Y","","","","",2025
1993932,"","Y","","","","","","","","",2025
1993934,"","","","","","Y","","","","",2025
1993936,"","","","","","Y","","","","",2025
1993937,"","","","","","Y","","","","",2025
1993940,"","","","","","Y","","","","",2025
1993947,"Y","","","","","","","","","",
1993948,"","","Y","","","","","","","",
1993951,"","","Y","","","","","","","",
1993985,"","","","Y","","","","","","",
1994018,"","","Y","","","","","","","",
1994035,"","","Y","","","","","","","",
1994071,"","","","","Y","","","Y","","",
1994076,"","","Y","","","","","","","",
1994093,"","","Y","","","","","","","",
1994095,"Y","","","","","","","","","Y",
1994102,"","","","","","","Y","","","",
1994103,"","","Y","","","","","","","",
1994111,"","","Y","","","","","","","",
1994118,"","","","","Y","","","","","",
1994122,"","Y","","","","","","","","",2025
1994129,"","","Y","","","","","","","",
1994134,"","","Y","","","","","","","",
1994143,"","","","","","Y","","","","",2025
1994148,"","","Y","","","","","","","",
1994150,"","","Y","","","","","","","",
1994164,"","","Y","","","","","","","",
1994171,"","Y","","","","","","","","",2025
1994188,"","","Y","","","","","","","",
1994194,"","","Y","","","","","","","",
1994197,"","","Y","","","","","","","",
1994213,"","","","","","","Y","","","",
1994215,"","","Y","","","","","","","",
1994227,"","","Y","","","","","","","",
1994241,"","","","","","Y","","","","",2024
1994253,"","","Y","","","","","","","",
1994263,"","","Y","","","","","","","",
1994267,"","","Y","","","","","","","",
1994305,"","","Y","","","","","","","",
1994325,"","","Y","","","","","","","",
1994372,"","","","","","","Y","","","",
1994373,"","","","","","Y","","","","",2025
1994388,"","Y","","","","","","","","",2025
1994389,"","","","","","Y","","","","",2024
1994394,"","Y","","","","","","","","",2025
1994402,"","","","","","","Y","","","",
1994431,"","","","","","Y","","","","",2024
1994434,"Y","","","","","","","","Y","",
1994437,"","","Y","","","","","","","",
1994438,"","","Y","","","","","","","",
1994447,"","","","","","Y","","","","",2025
1994452,"","","Y","","","","","","","",
1994458,"","","Y","","","","","","","",
1994467,"","Y","","","","","","","","",2025
1994468,"","","Y","","","","","","","",
1994472,"","Y","","","","","","","","",2024
1994473,"","Y","","","","","","","","",2025
1994482,"Y","","","","","","","","","Y",
1994498,"Y","","","","","","","","","",
1994508,"","","Y","","","","","","","",
1994513,"","","Y","","","","","","","",
1994542,"","","","","","Y","","","","",2025
1994553,"","","Y","","","","","","","",
1994564,"","Y","","","","","","","","",2024
1994594,"","","","","","Y","","","","",2025
1994603,"","","","","Y","","","","","",
1994607,"","","Y","","","","","","","",
1994632,"","","Y","","","","","","","",
1994646,"","","","","","Y","","","","",2024
1994650,"","","Y","","","","","","","",
1994654,"","","Y","Y","","","","","","",
