"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1996024,"BH DIGITAL OPPORTUNITIES I FUND LIMITED",805-1208522067,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BH DIGITAL SPC",805-8744398932,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD SPECIAL OPPORTUNITIES (XIV) LIMITED",805-6415583200,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD EMERGING MARKETS MULTI-STRATEGY MASTER FUND LIMITED",805-5771232715,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1993553,"HAYFIN DIRECT LENDING FUND III SCSP",805-6394168566,"VISTRA FUND MANAGEMENT S.A.","802-114015","N"
1993553,"HAYFIN DIRECT LENDING FUND IV SCSP",805-1856002856,"VISTRA FUND MANAGEMENT S.A.","802-114015","N"
1993553,"HAYFIN DIRECT LENDING FUND IV (LEVERED) SCSP",805-9349393075,"VISTRA FUND MANAGEMENT S.A.","802-114015","N"
1993553,"HAYFIN DIRECT LENDING FUND V SCSP",805-3831790551,"VISTRA FUND MANAGEMENT S.A.","802-114015","N"
1993553,"HAYFIN DIRECT LENDING FUND V (LEVERED) SCSP",805-3347063053,"VISTRA FUND MANAGEMENT S.A.","802-114015","N"
1993553,"HAYFIN DLF V CO-INVEST SCSP",805-4024808972,"VISTRA FUND MANAGEMENT S.A.","802-114015","N"
1996024,"BREVAN HOWARD SYSTEMATIC RESEARCH & TECHNOLOGIES MASTER FUND LIMITED",805-1784472614,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD SPECIAL OPPORTUNITIES MASTER SPC",805-7155329292,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1996024,"BREVAN HOWARD MB MACRO MASTER FUND LIMITED",805-8089904964,"BREVAN HOWARD CAPITAL MANAGEMENT, LP","802-74971","N"
1994213,"A-MCW-35-FUND, A SERIES OF AX-WW-FUNDS, LLC",805-9672458550,"ANGELLIST ADVISORS","802-78135","N"
1994213,"A-MEV-31-FUND, A SERIES OF AX-WW-FUNDS, LLC",805-3640337890,"ANGELLIST ADVISORS","802-78135","N"
1994213,"A-MHA-13-FUND, A SERIES OF AX-WW-FUNDS, LLC",805-6230568694,"ANGELLIST ADVISORS","802-78135","N"
1994213,"A-PND-17-FUND, A SERIES OF AX-WW-FUNDS, LLC",805-4040578605,"ANGELLIST ADVISORS","802-78135","N"
1994213,"QR-1128 FUND I, A SERIES OF KITTYHAWK HEAVY SPV AL5, LP",805-7101447564,"ANGELLIST ADVISORS","802-78135","N"
1994213,"CO FUND I, A SERIES OF KITTYHAWK HEAVY SPV AL5, LP",805-5868200064,"ANGELLIST ADVISORS","802-78135","N"
