"FilingID","Country/Authority"
1934956,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1934956,"Canada - Nova Scotia Securities Commission"
1934956,"Canada - Prince Edward Island, Securities Office"
1934956,"Canada - Quebec, Financial Markets Authority"
1934956,"Canada - Saskatchewan Financial Services Commission"
1939130,"Australia - Australian Securities and Investments Commission"
1939130,"Other: COLOMBIA - FINANCE SUPERINTENDENCE OF COLOMBIA"
1933847,"Australia - Australian Securities and Investments Commission"
1939368,"Other: ITAU USA ASSET MANAGEMENT, INC. FILES AN ANNUAL FORM 13-502F4 WITH THE ONTARIO SECURITIES COMMISSION"
1930255,"Japan - Financial Services Agency"
1940198,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1940198,"Dubai - Dubai Financial Services Authority"
1940320,"Canada - Ontario Securities Commission"
1940320,"Canada - British Columbia Securities Commission"
1940320,"Canada - Alberta Securities Commission"
1940320,"Canada - Saskatchewan Financial Services Commission"
1940320,"Canada - Manitoba Securities Commission"
1940320,"Canada - Quebec, Financial Markets Authority"
1939490,"Switzerland - Swiss Financial Market Supervisory Authority"
1939490,"Liechtenstein - Financial Market Authority"
1939660,"Singapore - Monetary Authority of Singapore"
1939414,"India - Securities and Exchange Board of India"
1939452,"India - Securities and Exchange Board of India"
1939452,"United Arab Emirates - Securities and Commodities Authority"
1939452,"Mexico - National Commission for Banking and Securities"
1939452,"Egypt - Capital Market Authority"
1939452,"Spain - National Commission of Securities Markets"
1940433,"Other: NORWAY - THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
1940433,"Australia - Australian Securities and Investments Commission"
1929872,"Other: PINEBRIDGE INVESTMENTS LLC IS EXEMPT FROM HOLDING AN AUSTRALIAN FINANCIAL SERVICES LICENSE DUE TO ITS REGISTRATION WITH THE SEC"
1946250,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1942821,"Other: ESTONIA - ESTONIAN FINANCIAL SUPERVISION AUTHORITY"
1942951,"United Kingdom - Financial Conduct Authority"
1929872,"China, People's Republic of - China Securities Regulatory Commission "
1944630,"United Kingdom - Financial Conduct Authority"
1944630,"Netherlands - The Netherlands Authority for the Financial Markets"
1944630,"Norway - The Banking, Insurance and Securities Commission"
1944630,"Sweden - Swedish Financial Supervisory Authority"
1944630,"Finland - Financial Supervision Authority"
1944630,"Ireland -  Central Bank of Ireland"
1939741,"Ireland -  Central Bank of Ireland"
1939741,"Canada - Ontario Securities Commission"
1947926,"Canada - British Columbia Securities Commission"
1947926,"Canada - Ontario Securities Commission"
1947926,"Canada - Alberta Securities Commission"
1947926,"Canada - Saskatchewan Financial Services Commission"
1947926,"Canada - Manitoba Securities Commission"
1947926,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1947926,"Canada - Yukon Territories, Registrar of Securities"
1947926,"Canada - Northwest Territories, Office of the Registrar of Securities"
1947926,"Canada - Quebec, Financial Markets Authority"
1947926,"Canada - Nova Scotia Securities Commission"
1947926,"Canada - New Brunswick Securities Commission"
1947926,"Canada - Prince Edward Island, Securities Office"
1947926,"Canada - Nunavut, Registrar of Securities"
1945733,"United Kingdom - Financial Conduct Authority"
