"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1930872,436934,"MERRILL LYNCH BANK OF AMERICA SECURITIES","",,"NEW YORK","New York","United States","Y"
1930872,436934,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1930872,436934,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1930872,436934,"JP MORGAN SECURITIES LTD","",,"LONDON","","United Kingdom","Y"
1930872,436925,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1930872,436925,"BNP PARIBAS, NEW YORK","",,"NEW YORK","New York","United States","Y"
1930872,436925,"CITIGROUP GLOBAL MARKETS LIMITED IPB","",,"LONDON","","United Kingdom","Y"
1930872,436925,"UBS AG LONDON","",,"LONDON","","United Kingdom","Y"
1930872,436925,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1930872,436925,"HSBC BANK PLC","",,"LONDON","","United Kingdom","Y"
1930872,436925,"JP MORGAN SECURITIES LLC","",,"NEW YORK","New York","United States","Y"
1930872,436925,"JP MORGAN SECURITIES LTD","",,"LONDON","","United Kingdom","Y"
1930872,436934,"BNP PARIBAS, NEW YORK","",,"NEW YORK","New York","United States","Y"
1930872,436934,"HSBC BANK PLC","",,"LONDON","","United Kingdom","Y"
1930872,436934,"JP MORGAN SECURITIES LLC","",,"NEW YORK","New York","United States","Y"
1930872,436934,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1930872,436925,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1930872,436925,"MERRILL LYNCH BANK OF AMERICA SECURITIES","",,"NEW YORK","New York","United States","Y"
1930872,436925,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1917528,435232,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1917528,435232,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1917528,435232,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1917528,435232,"THE BANK OF NEW YORK MELLON","",,"NEW YORK","New York","United States","Y"
1917528,435231,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1917528,435231,"CITIBANK NA","",,"NEW YORK","New York","United States","Y"
1917528,435231,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1917528,435231,"J.P. MORGAN SECURITIES LLC","",,"NEW YORK","New York","United States","Y"
1917528,435231,"J.P. MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","Y"
1917528,435231,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1917528,435231,"THE BANK OF NEW YORK MELLON","",,"NEW YORK","New York","United States","Y"
1917528,435231,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1917528,435230,"CITIBANK NA","",,"NEW YORK","New York","United States","Y"
1917528,435230,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1917528,435230,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1917528,435230,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1917528,435230,"THE BANK OF NEW YORK MELLON","",,"NEW YORK","New York","United States","Y"
1917528,435230,"J.P. MORGAN SECURITIES LLC","",,"NEW YORK","New York","United States","Y"
1917528,435228,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1917528,435228,"CITIBANK NA","",,"NEW YORK","New York","United States","Y"
1917528,435228,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1917528,435228,"DEUTSCHE BANK AG","",,"FRANKFURT","","Germany","Y"
1917528,435228,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1917528,435228,"J.P. MORGAN SECURITIES LLC","",,"NEW YORK","New York","United States","Y"
1917528,435228,"J.P. MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","Y"
1917528,435228,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1928388,357920,"INTERACTIVE BROKERS (UK) LIMITED","",,"LONDON","","United Kingdom","N"
1928388,420998,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1928388,420998,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1930929,198600,"GOLDMAN SACHS & CO. LLC","8-129",361,"SAN FRANCISCO","California","United States","Y"
1930929,221944,"BTIG, LLC","8-65473",122225,"SAN FRANCISCO","California","United States","N"
1922628,54296,"CHARLES SCHWAB & CO., INC.","8-16514",5393,"WESTLAKE","Texas","United States","Y"
1930817,231025,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1930817,231025,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1930817,231025,"UBS AG, LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1930817,231025,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1930817,255074,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1930817,255074,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
