"FilingID","ReferenceID","Private Fund Name","Fund ID"
1985963,61902,"ENERGY CAPITAL PARTNERS III-C OFFSHORE FEEDER, LP",805-8795978246
1985963,212248,"ENERGY CAPITAL PARTNERS IV-C OFFSHORE FEEDER, LP",805-5572916803
1985963,277542,"ECP ENERGY TRANSITION OPPORTUNITIES FUND B OFFSHORE FEEDER, LP",805-7807055412
1985963,297405,"ECP INFRASTRUCTURE V-C OFFSHORE FEEDER, LP",805-1724218044
1985963,264054,"ECP TERRA-GEN GROWTH FUND C OFFSHORE FEEDER, LP",805-2914907934
1985963,479880,"ECP TERRASOL OFFSHORE FEEDER, LP",805-7872994585
1985963,480326,"GAVIN GENERATION HOLDINGS B OFFSHORE FEEDER, LP",805-4628337978
1985963,480286,"ECP INFRASTRUCTURE VI-C OFFSHORE FEEDER, LP",805-8257742916
1984229,45205,"DB REAL ESTATE GLOBAL OPPORTUNITIES IB (DOMESTIC), LLC",805-9778990727
1984229,45205,"DB REAL ESTATE GLOBAL OPPORTUNITIES IB (OFFSHORE)",805-2524368941
1984244,481564,"DWS INFRASTRUCTURE DEBT OPPORTUNITIES FEEDER (CACTUS) L.P.",805-1332924132
1984244,237368,"DWS INFRASTRUCTURE DEBT OPPORTUNITIES FEEDER (CACTUS) L.P.",805-1332924132
1984244,237368,"DWS INFRASTRUCTURE DEBT OPPORTUNITIES FEEDER (E) L.P.",805-9466048600
1984244,237368,"DWS OFFSHORE INFRASTRUCTURE DEBT OPPORTUNITIES FEEDER LP",805-6341568568
1986192,167531,"BARKER PARTNERSHIP FUND",805-7250778441
1986038,477102,"SILVERFERN DBD RAIF-SILVERFERNDBD1450",805-7584748482
1986038,477102,"SILVERFERN DBD RAIF-SILVERFERNDBD1451",805-7852019988
1986038,477102,"SILVERFERN DBD RAIF-SILVERFERNDBD1452",805-7641007140
1986038,477102,"SILVERFERN DBD RAIF-SILVERFERNDBD1453",805-5673359845
1986038,477102,"SILVERFERN DBD RAIF-SILVERFERNDBD1455",805-3298420945
1986038,477102,"SILVERFERN DBD RAIF-SILVERFERNDBD1456",805-3076552828
1986038,477102,"SILVERFERN DBD RAIF-SILVERFERNDBD1457",805-4791526138
1986038,477139,"SCIP LIMITED PARTNERSHIP NEV (CAYMAN), L.P.",805-8518541121
1986038,477131,"SILVERFERN SCSP RAIF-SILVERFERNSMA1888",805-3125532698
1986038,477131,"SILVERFERN AP SCSP RAIF-SILVERFERNAP1962",805-6221355800
1978593,478103,"SOF-XIII FEEDER I, L.P.",805-5941408582
1978593,478136,"SOF-XIII VIP TE, L.P.",805-3724722619
1978593,478136,"SOF-XIII VIP OFFSHORE, L.P.",805-9796521038
1978593,478136,"SOF-XIII KA FEEDER, L.P.",805-1342857142
