"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
1927419,234643,109611,"N","CASTLE HILL CAPITAL PARTNERS, INC.","8-50550",44131,"NEW YORK","New York","United States","N"
1927419,247208,109609,"N","CASTLE HILL CAPITAL PARTNERS, INC.","8-50550",44131,"NEW YORK","New York","United States","N"
1927419,234643,109411,"N","WILLIAMS TRADING LLC","8-50372",43678,"WESTPORT","Connecticut","United States","N"
1927419,247208,110094,"N","PROFOR ADVISORS","8-66974",136084,"RYE BROOK","New York","United States","N"
1922195,435822,260831,"N","TIMOTHY O SEARLE","",,"DUBAI","","United Arab Emirates","N"
1922195,435822,260832,"N","RUPERT SEARLE","",,"DUBAI","","United Arab Emirates","N"
1922195,435822,260833,"Y","MARC CHEHATA","",,"ABU DHABI","","United Arab Emirates","N"
1922195,435822,260834,"N","OMAR ATTA","",,"ABU DHABI","","United Arab Emirates","N"
1922195,435822,260830,"N","SALMAN RAJPUT","",,"DUBAI","","United Arab Emirates","N"
1922195,435822,260829,"N","INDRANIL CHOWDHURY","",,"DUBAI","","United Arab Emirates","N"
1919626,419487,249027,"N","AL ADVISORS MANAGEMENT, INC","",,"SAN FRANCISCO","California","United States","Y"
1921065,435716,260764,"Y","GARDEN STATE SECURITIES, INC.","8-25790",10083,"RED BANK","New Jersey","United States","N"
1921065,435714,260763,"Y","GARDEN STATE SECURITIES, INC.","8-25790",10083,"RED BANK","New Jersey","United States","N"
1921065,435715,260765,"Y","GARDEN STATE SECURITIES, INC.","8-25790",10083,"RED BANK","New Jersey","United States","N"
1928900,319171,155703,"Y","SECTOR CAPITAL AS","",,"OSLO","","Norway","N"
1928900,319171,195435,"N","CAPRICORN FUND MANAGERS LTD.","",,"LONDON","","United Kingdom","N"
1928467,355679,191407,"N","AL ADVISORS MANAGEMENT, INC.","",,"SAN FRANCISCO","California","United States","Y"
1928467,369519,201099,"N","AL ADVISORS MANAGEMENT, INC.","",,"SAN FRANCISCO","California","United States","Y"
1928467,369520,201100,"N","AL ADVISORS MANAGEMENT, INC.","",,"SAN FRANCISCO","California","United States","Y"
1922348,26295,260951,"N","INTE SECURITIES LLC","8-51667",47107,"BOCA RATON","Florida","United States","N"
1933301,21264,7924,"N","POTOMAC CAPITAL MARKETS, LLC","8-48848",39800,"FREDERICK","Maryland","United States","N"
1928899,421379,249769,"N","SECTOR CAPITAL AS","",,"OSLO","","Norway","N"
1912927,25289,13145,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,25290,13146,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,45133,22053,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,25257,12449,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,25259,12481,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,198229,79569,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,25265,12826,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,25273,13137,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,25264,12511,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
