"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
1914743,435740,"COLUMN NATIONAL ASSOCIATION","BREX TREASURY LLC","CHICO","California","United States","N","",254900NRUGL0OCAYH953
1914743,435740,"FIRST CITIZENS BANK","SILICON VALLEY BANK","SAN FRANCISCO","California","United States","N","",549300VGKMMSJEW8TW22
1914743,435739,"COLUMN NATIONAL ASSOCIATION","BREX TREASURY LLC","CHICO","California","United States","N","",254900NRUGL0OCAYH953
1914743,435739,"FIRST CITIZENS BANK","SILICON VALLEY BANK","SAN FRANCISCO","California","United States","N","",549300VGKMMSJEW8TW22
1914743,435738,"FIRST CITIZENS BANK","SILICON VALLEY BANK","SAN FRANCISCO","California","United States","N","",549300VGKMMSJEW8TW22
1914743,435738,"COLUMN NATIONAL ASSOCIATION","BREX TREASURY LLC","CHICO","California","United States","N","",254900NRUGL0OCAYH953
1914743,435250,"FIRST CITIZENS BANK","SILICON VALLEY BANK","SAN FRANCISCO","California","United States","N","",549300VGKMMSJEW8TW22
1914743,435250,"COLUMN NATIONAL ASSOCIATION","BREX TREASURY LLC","CHICO","California","United States","N","",254900NRUGL0OCAYH953
1914743,205248,"FIRST CITIZENS BANK","SILICON VALLEY BANK","SAN FRANCISCO","California","United States","N","",549300VGKMMSJEW8TW22
1914743,205248,"COLUMN NATIONAL ASSOCIATION","BREX TREASURY LLC","CHICO","California","United States","N","",254900NRUGL0OCAYH953
1914743,435735,"FIRST CITIZENS BANK","SILICON VALLEY BANK","SAN FRANCISCO","California","United States","N","",549300VGKMMSJEW8TW22
1914743,435735,"COLUMN NATIONAL ASSOCIATION","BREX TREASURY LLC","CHICO","California","United States","N","",254900NRUGL0OCAYH953
1920505,435624,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
1920505,435626,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
1920505,435627,"GRASSHOPPER BANCORP, INC","GRASSHOPPER BANCORP, INC","NEW YORK","New York","United States","N","",549300CIGRWPCGT1HE33
1920505,435622,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
1933460,250067,"COMPUTERSHARE TRUST COMPANY, N.A.","COMPUTERSHARE","LOUISVILLE","Kentucky","United States","N","",2549001YYB62BVMSAO13
1933460,7678,"COMPUTERSHARE TRUST COMPANY, N.A.","COMPUTERSHARE","LOUISVILLE","Kentucky","United States","N","",2549001YYB62BVMSAO13
1908521,436305,"INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257",
1908521,428450,"PERSHING LLC","PERSHING LLC","JERSEY CITY","New Jersey","United States","N","8-17574",ZI8Q1A8EI8LQFJNM0D94
1908521,436981,"PERSHING LLC","PERSHING LLC","JERSEY CITY","New Jersey","United States","N","8-17574",
1922253,248556,"BNP PARIBAS SECURITIES SERVICES","BNP PARIBAS SECURITIES SERVICES","LONDON","","United Kingdom","N","",
1922253,248556,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS & CO. LLC","NEW YORK","New York","United States","N","8-129",
1922253,248556,"EUROPEAN DEPOSITARY BANK S.A., DUBLIN BRANCH","EDB","DUBLIN","","Ireland","N","",5299000YBKNGBUB4VF56
1922647,422369,"THE BANK OF NEW YORK MELLON SA/NV (DUBLIN BRANCH)","BANK OF NEW YORK MELLON","DUBLIN","","Ireland","N","",2138005U6PFAG1EGQ670
1922647,5354,"THE BANK OF NEW YORK MELLON (LONDON BRANCH)","BANK OF NEW YORK MELLON","LONDON","","United Kingdom","N","",HPFHU0OQ28E4N0NFVK49
1922647,5354,"HSBC BANK PLC","HSBC BANK PLC","LONDON","","United Kingdom","N","",MP6I5ZYZBEU3UXPYFY54
1922647,5354,"GOLDMAN SACHS INTERNATIONAL","GOLDMAN SACHS INTERNATIONAL","LONDON","","United Kingdom","N","",W22LROWP2IHZNBB6K528
1922647,5354,"MORGAN STANLEY & CO. INTERNATIONAL PLC","MORGAN STANLEY","LONDON","","United Kingdom","N","",4PQUHN3JPFGFNF3BB653
1922647,5354,"BNP PARIBAS SA, LONDON BRANCH","BNP PARIBAS","LONDON","","United Kingdom","N","",R0MUWSFPU8MPRO8K5P83
