"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","Sales Limited","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1993568,"MVP LS FUND CCLXXXIV LLC SERIES 2",805-5634252870,378955,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",371000,10000,21,0,0,"N",27,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CLXIX LLC SERIES 3",805-9157175470,378913,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",90000,5000,22,0,0,"N",9,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCCXXVII LLC SERIES 3",805-2739224972,378914,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",52000,10000,8,0,0,"N",19,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CVI LLC SERIES 2",805-7201593586,397125,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",270000,10000,26,0,0,"N",16,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCCXLVIII LLC SERIES 3",805-2075638682,397449,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",141000,5000,26,0,0,"N",4,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CDVIII LLC SERIES 2",805-3652221456,378842,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",175000,5000,39,0,0,"N",2,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CLXV LLC SERIES 5",805-6569158919,378859,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",22000,5000,5,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CLX LLC SERIES 4",805-6200797401,378903,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",10000,10000,4,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CDI LLC SERIES 1",805-1542403640,378908,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",15000,5000,2,33,33,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CDLXIII LLC SERIES 1",805-6915665561,378254,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",161000,10000,14,0,0,"N",37,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
